key,value
m02.kmeans.adjusted_mutual_information,0.196556
m02.kmeans.adjusted_rand,0.13194
m02.kmeans.assigned_fraction,1
m02.kmeans.calinski_harabasz,102.538
m02.kmeans.clusters,4
m02.kmeans.completeness,0.162115
m02.kmeans.davies_bouldin,1.50869
m02.kmeans.homogeneity,0.277015
m02.kmeans.silhouette,0.165097
m02.kmeans.smallest_cluster,3
m02.kmeans.unassigned,0
m02.kmeans_k2.assigned_fraction,1
m02.kmeans_k2.calinski_harabasz,114.7
m02.kmeans_k2.clusters,2
m02.kmeans_k2.davies_bouldin,1.48174
m02.kmeans_k2.silhouette,0.645731
m02.kmeans_k2.smallest_cluster,25
m02.kmeans_k2.unassigned,0
m02.kmeans_k2_vs_cirrhosis.adjusted_mutual_information,0.66528
m02.kmeans_k2_vs_cirrhosis.adjusted_rand,0.815224
m02.kmeans_k2_vs_cirrhosis.completeness,0.715833
m02.kmeans_k2_vs_cirrhosis.homogeneity,0.624463
m02.kmeans_scaled.adjusted_mutual_information,0.196556
m02.kmeans_scaled.adjusted_rand,0.13194
m02.kmeans_scaled.assigned_fraction,1
m02.kmeans_scaled.calinski_harabasz,102.538
m02.kmeans_scaled.clusters,4
m02.kmeans_scaled.completeness,0.162115
m02.kmeans_scaled.davies_bouldin,1.50869
m02.kmeans_scaled.homogeneity,0.277015
m02.kmeans_scaled.silhouette,0.165097
m02.kmeans_scaled.smallest_cluster,3
m02.kmeans_scaled.unassigned,0
m02.kmeans_unscaled.adjusted_mutual_information,0.295231
m02.kmeans_unscaled.adjusted_rand,0.533265
m02.kmeans_unscaled.assigned_fraction,1
m02.kmeans_unscaled.calinski_harabasz,311.869
m02.kmeans_unscaled.clusters,4
m02.kmeans_unscaled.completeness,0.31825
m02.kmeans_unscaled.davies_bouldin,0.987078
m02.kmeans_unscaled.homogeneity,0.291109
m02.kmeans_unscaled.silhouette,0.565494
m02.kmeans_unscaled.smallest_cluster,3
m02.kmeans_unscaled.unassigned,0
m02.pca_variance_explained,0.417635
m02.released_0,533
m02.released_0s,7
m02.released_1,24
m02.released_2,21
m02.released_3,30
m02.rows_analyzed,608
m02.rows_complete,582
m02.rows_incomplete,26
m02.rows_released,615
m02.rows_suspect_donor,7
m02.stability.adjusted_rand_k2_vs_cirrhosis_max,0.815224
m02.stability.adjusted_rand_k2_vs_cirrhosis_min,0.742818
m02.stability.adjusted_rand_k4_max,0.144646
m02.stability.adjusted_rand_k4_min,0.087402
m02.stability.seeds,10
m02.variance_share_top_two,0.666668
m03.benign_rate,0.627417
m03.best_confidence,0.996466
m03.best_lift,1.58821
m03.diagnosis_rules,321
m03.features,30
m03.frequent_itemsets,3653
m03.items,92
m03.malignant_rate,0.372583
m03.malignant_reachable_at_min_support,False
m03.max_itemset_length,4
m03.median_confidence,0.980469
m03.min_conviction,10
m03.rows_analyzed,569
m03.rows_benign,357
m03.rows_incomplete,0
m03.rows_malignant,212
m03.rules,5972
m03.selected_features,19
m03.selected_items,19
m03.transactions,569
m04.drinks_zero_rows,9
m04.forest.cv_r2_mean,0.118437
m04.forest.cv_r2_sd,0.107088
m04.forest.test_mae,2.39133
m04.forest.test_mean_observed,3.25
m04.forest.test_r2,0.234987
m04.forest.test_rmse,3.06109
m04.forest.test_rows,86
m04.forest.test_sd_observed,3.52032
m04.log_ols.r2_train_insample,0.151848
m04.log_ols.test_mae,2.32167
m04.log_ols.test_mean_observed,3.25
m04.log_ols.test_r2,0.15298
m04.log_ols.test_rmse,3.22099
m04.log_ols.test_rows,86
m04.log_ols.test_sd_observed,3.52032
m04.ols.condition_number,2578.04
