false_positive_rate,true_positive_rate
0.401061,0.618896
0.402306,0.620665
0.404335,0.622081
0.405303,0.624204
0.407563,0.625619
0.4095,0.628096
0.413189,0.629512
0.414757,0.631989
0.41697,0.633404
0.417939,0.635173
0.422227,0.636589
0.427346,0.639066
0.42896,0.640481
0.430021,0.643312
0.432603,0.644728
0.434817,0.646851
0.435785,0.648266
0.437399,0.650035
0.439059,0.651805
0.439474,0.653574
0.441411,0.654989
0.442887,0.657113
0.44487,0.659943
0.446023,0.661713
0.448052,0.663128
0.449573,0.664897
0.45128,0.666313
0.452755,0.668436
0.454784,0.669851
0.457644,0.671621
0.459903,0.674098
0.462624,0.676221
0.46599,0.677636
0.467097,0.679406
0.468342,0.680821
0.469956,0.68259
0.471616,0.684006
0.474844,0.685775
0.478119,0.687544
0.479133,0.689667
0.481854,0.691437
0.483099,0.69356
0.485635,0.694975
0.487803,0.697098
0.489371,0.698514
0.490477,0.700283
0.491215,0.702052
0.492829,0.704176
0.496334,0.706299
0.497487,0.708068
0.499009,0.709483
0.499608,0.71196
0.500761,0.713376
0.502605,0.715499
0.50528,0.717268
0.506571,0.719038
0.508969,0.720453
0.512382,0.722222
0.516302,0.723638
0.518192,0.725407
0.520959,0.726822
0.52119,0.728946
0.522712,0.730361
0.523772,0.732838
0.527461,0.734253
0.528614,0.736377
0.530274,0.7385
0.531519,0.740269
0.532995,0.742038
0.534102,0.743808
0.5359,0.745223
0.537745,0.747346
0.541941,0.748762
0.543832,0.750531
0.548674,0.7523
0.549274,0.754069
0.551948,0.755839
0.5549,0.757962
0.558912,0.760085
0.560526,0.761854
0.563984,0.76327
0.567627,0.765393
0.569518,0.766808
0.571501,0.768577
0.573899,0.769993
0.576251,0.771762
0.577634,0.773178
0.57911,0.775301
0.580125,0.777424
0.584828,0.779193
0.58861,0.780609
0.590546,0.782732
0.592806,0.784855
0.59525,0.786624
0.596403,0.788747
0.597648,0.790517
0.599862,0.791932
0.603781,0.793701
0.607286,0.795117
0.608808,0.79724
0.61116,0.799363
0.611944,0.801486
0.613143,0.803255
0.613973,0.805379
0.615725,0.807148
0.618492,0.808917
0.621997,0.810333
0.624349,0.812456
0.626378,0.814225
0.629375,0.815994
0.637169,0.81741
0.64321,0.819179
0.647129,0.820948
0.648144,0.822718
0.651556,0.824133
0.65377,0.826256
0.656214,0.827672
0.657044,0.829441
0.660272,0.830856
0.661886,0.832626
0.667282,0.834041
0.669357,0.83581
0.671294,0.837226
0.67406,0.839349
0.675536,0.840764
0.67775,0.842534
0.678995,0.843949
0.680747,0.845718
0.68416,0.847134
0.686742,0.849257
0.687572,0.851026
0.690708,0.852795
0.691722,0.854211
0.694259,0.856334
0.696288,0.857749
0.698916,0.859519
0.700991,0.860934
0.702421,0.862703
0.704819,0.864119
0.707355,0.866242
0.710998,0.868011
0.71418,0.869781
0.717777,0.871196
0.720498,0.872965
0.722988,0.874735
0.72534,0.876504
0.727507,0.877919
0.730505,0.880396
0.732626,0.881812
0.734194,0.883581
0.737929,0.884996
0.740558,0.886766
0.744201,0.888181
0.74706,0.890304
0.750196,0.89172
0.752871,0.893489
0.755545,0.894904
0.75739,0.896674
0.762001,0.898443
0.765137,0.900212
0.769703,0.901628
0.770902,0.903397
0.775375,0.905166
0.776435,0.907643
0.781462,0.909059
0.78303,0.910828
0.789025,0.912243
0.792207,0.914013
0.793544,0.915428
0.795527,0.917197
0.800277,0.918613
0.804058,0.920382
0.806917,0.921798
0.808623,0.923567
0.811068,0.924982
0.81305,0.927105
0.816417,0.928875
0.820152,0.930998
0.823887,0.932413
0.827946,0.934183
0.831035,0.935598
0.837076,0.937367
0.842795,0.938783
0.843994,0.940552
0.845884,0.941967
0.848052,0.943737
0.85211,0.945506
0.85317,0.947275
0.857182,0.949045
0.861379,0.950814
0.862993,0.952229
